序号,英文,中文释义,,
88,petty,小的，琐碎的，不重要的,,
89,cede,割让，交出,,
90,furtive,偷偷摸摸的，鬼鬼祟祟的,,
91,energetic,精力充沛的，精神饱满的，充满活力的,,
92,disproportionate,不成比例的，不相称的,,
93,uphold,支持，赞成，认可,,
94,moribund,行将灭亡的，毫无生气的,,
95,demanding,艰难的，困难的，要求高的,,
96,nothing if not,确实，非常，极其,,
97,churn sth. out,粗制滥造出,,
98,gambit,策略，计谋，举动,,
99,stave sth. off,避免，延缓,,
100,cinch,轻而易举的事,,
101,contented,满意的，心满意足的,,
102,blueprint,蓝图，行动计划,,
103,rehash,将略加修改后重新使用，炒冷饭,,
104,trait,特征，特点，特性,,
105,autonomy,独立，自主,,
106,undue,过分的，过度的，不应有的,,
107,jubilant,欢乐的，喜气洋洋的,,
108,personage,名人，要人,,
109,motley,混杂的，成分杂乱的,,
110,headway,进展，进步,,
111,effusive,极为热情的，过分热情的，奔放的,,
112,pellucid,极为清晰的,,
113,rapacious,贪婪的,,
114,solicitous,关心的，挂念的,,
115,intrinsic,固有的，内在的，天生的,,
116,paragon,模范，典范,,
117,delineate,刻划，描写,,
118,embargo,禁运，贸易禁令,,
119,ploy,计策，手段,,
120,intercept,拦截，截住，截击,,
121,machination,阴谋策划，施诡计,,
122,efficacious,有效的,,
123,present,公开展示，公开呈现,,
124,promulgate,宣传，传播,,
125,spike,激增,,
126,gall,使生气，使恼火,,
127,cascade,一连串，连续大量出现的东西,,
128,seclusion,隔绝，退隐，隐居,,
129,nonetheless,仍然，还是，尽管如此,,
130,conspicuous,显眼的，明显的，显著的,,
131,pass,被认为是……，被当做……,,
132,chaos,混乱,,
133,relinquish,主动放弃,,
134,counteract,抵消，对……起反作用,,
135,anchor,把…系住，使固定,,
136,glut,大量，过量，过剩,,
137,deadpan,面无表情的，一本正经的,,
138,ethereal,极为精细的，超凡脱俗的,,
139,fury,狂暴，激烈，暴烈,,
140,lethargy,昏昏欲睡，没精打采,,
141,infelicity,不得体的言论,,
142,scrutinize,详细检查，仔细研究,,
143,immutable,不变的，永恒的,,
144,mutable ,可变的，多变的,,
145,cajole,劝诱，哄骗,,
146,demur,反对，犹豫，不情愿,,
147,nettlesome,恼人的，气人的，极为令人不悦的,,
148,haunted,闹鬼的，鬼魂出没的,,
149,trivial,琐碎的，不重要的，无价值的,,
150,prune,删除，除去，消减,,
151,now that,既然，由于,,
152,die hard,难改掉，难消灭,,
153,reservoir,水库，蓄水池，储备，储藏地,,
154,aesthetic,美学的，审美的,,
155,prompt,促使，推动，激励，提示，提词，提醒,,
156,credit,因……称赞……，把……归功于……，赞扬，荣誉，功劳,,
157,credible,可信的，令人信服的,,
158,credulous,轻信的，易受骗的，因轻信造成的,,
159,credence,相信,,
160,credential,资格证明,,
161,discredit,否定,,
162,audacious,大胆的，敢于冒险的，出人意料的,,
163,preoccupy,使全神贯注，使入神,,
164,eclectic,多样的，来自不同来源的，兼收并蓄的,,
165,artless,粗糙的，笨拙的,,
166,embody,体现，表现,,
167,premise,前提，先决条件，背景设定,,
168,progression,前进，进展，行进,,
169,profess,声称，号称，号称拥有,,
170,evoke,唤起，使想到，使想起,,
171,standstill,停止，停顿，停滞,,
172,ministration,帮助，照料,,
173,hoax,骗局，恶作剧,,
174,augment,扩大，增加，提高,,
175,interchangeable,非常相似的，几乎相同的,,
176,congruent,一致的，和谐的,,
177,incongruous,不相称的，不协调的,,
178,crisp,简明扼要的，干净利落的,,
179,apathy,无兴趣，冷淡，冷漠,,
180,languish,变得衰弱无力，失去活力,,
181,subsequently,随后，后来，接着,,
182,shore up,支持，巩固,,
183,demoralize,使士气低落，使泄气,,
184,potency,力量，权力,,
185,thrive,兴旺发达，繁荣，旺盛,,
186,testimony,证据，证明,,
187,squelch,镇压，消除,,
188,buoy,鼓励，鼓舞,,
189,posture,摆姿势，装模作样，姿势，装腔作势的样子,,
190,catchy,朗朗上口的,,
191,authentic,真正的，可信的,,
192,authenticate,证实,,
193,panoply,一大堆，完整的一堆,,
194,implement,使生效，实施,,
195,malady,疾病,,
196,acerbic,尖刻的,,
197,accent,强调,,
198,accentuate,强调，突出,,
199,reflect,沉思，考虑，思考,,
200,reflectivity,【物理】反射率,,
201,crude,粗制的，粗糙的，原始的,,
202,tenacious,坚定的，顽强的,,
203,arousal,兴奋，激动，唤起,,
204,untenable,站不脚的，经不起抨击的,,
205,cherish,珍爱，珍视,,
206,wrap,包装,,
207,episodic,偶尔发生的,,
208,stump,难住，难倒,,
209,virtuosity,精湛技艺,,
210,unfeeling,冷酷无情的，没有同情心的,,
211,equable,脾气温和的,,
212,individualism,个人主义，强调个人独立和自力更生,,
213,unalloyed,纯粹的，完全的,,
214,zealot,狂热者，狂热分子,,
215,substitute,代替，用…代替,,
216,rampant,不受限制的，泛滥的，猖獗的,,
217,cronyism,任人唯亲,,
218,shun,避开，回避，避免,,
219,sabotage,蓄意破坏,,
220,divisive,造成不和的，引起分歧的，制造分裂的,,
221,blunt,率直的，直截了当的,,
222,coverage,报道,,
223,incontrovertible,无可辩驳的，不容置疑的，无可否认的,,
224,trope,比喻,,
225,rigor,严谨，一丝不苟,,
226,realization,领会，认识，看法,,
227,dearth,缺乏，不足,,
228,bear out,证实，证实…的话,,
229,permeate,漫遍，遍布，充满,,
230,permeable,可通过的，可穿过的,,
231,bound,必然的，一定的，限制，尺度，界限,,
232,foretell,预言,,
233,prescient,预知的，有预知能力的，有先见之明的,,
234,compel,强迫，使不得不,,
235,compelling,激发兴趣的，有强烈吸引力的，令人信服的,,
236,dispense,给予，提供，发放，去除，摒弃，不需要,,
237,indispensable,必不可少的，必需的,,
238,hamper,妨碍，阻碍,,
239,ponder,思考，沉思,,
240,unexampled,无先例的，绝无仅有的，空前的,,
241,unsullied,未受玷污的，无缺点的,,
242,cogent,有说服力的，令人信服的，有逻辑的,,
243,baffle,使困惑，难住,,
244,animate,激励，鼓动，使有活力,,
245,stratify,使形成阶层，使分层,,
246,excoriate,严厉指责，痛斥,,
247,vitality,生命力，生机，活力,,
248,nostalgia,怀旧，对过去充满伤感的怀念,,
249,antagonistic,对立的，敌对的,,
250,anticipate,预示，是……的先驱,,
251,commend,表扬，称赞,,
252,ramshackle,摇摇欲坠的，东歪西倒的，快要解体的,,
253,provocative,挑衅的，引人愤怒的，引人思考的,,
254,artificial,人为的，不自然的，虚假的,,
255,artifact,人工制品，手工艺品,,
256,patriotic,爱国的，有爱国心的,,
257,indebted,受惠的，蒙恩的，感激的,,
258,resilient,坚强的，能迅速从困难中恢复的,,
259,pronounced,显著的，显而易见,,
260,hallmark,标志，特点，特征,,
261,embellish,装饰，装点，美化,,
262,blemish,瑕疵，污点，缺陷,,
263,thought-provoking,引人思考的，发人深思的,,
264,gadfly,（因不断批评别人而）讨人厌的人,,
265,liberalization,放宽管制，去除管制，自由化,,
266,apropos,恰当的，合适的，合时宜的,,
267,personable,平易近人的，讨人喜欢的,,
268,dissemble,掩饰,,
269,anthropogenic,由人类活动引起的，人为的,,
270,narcissistic,自恋的,,
271,by and large,大体上，总地来说，一般来说,,
272,jarring,刺耳的，极为令人不悦的,,
273,antithesis,对立面，完全相反的事物,,
274,stupefaction,呆滞，迷糊，神志不清,,
275,derogation,贬低，轻视,,
276,implicit,暗示的，不直白的，包含在……之中的，与……紧密相关的,,
277,oust,驱逐，赶走，罢黜,,
278,nimble,灵活的，灵巧的，敏捷的,,
279,eschew,避免，避开，回避,,
280,grimy,满是污垢的，肮脏的,,
281,fancy,想像，设想,,
282,fanciful,空想的，不切实际的,,
283,intersect,相交，交叉,,
284,pecuniary,金钱的,,
285,contemplate,思考，考虑,,
286,predominant,占主导地位的，占支配地位的,,
287,stereotype,以过分简单的方式将人归类，过分简单地看待,,
288,quantum,【物理】量子,,
289,repertoire,一系列节目，一系列的本领,,
290,admittedly,诚然，确实,,
291,ubiquitous,普遍存在的，无处不在的,,
292,impressive,极好的，令人钦佩的,,
293,spotty,有好有坏的，参差不齐的,,
294,transcend,超出，超越……的范围,,
295,stringent,严格的，严厉的,,
296,seethe,怒火中烧，内心极为愤怒,,
297,highlight,强调，突出,,
298,propitious,顺利的，有利的,,
299,hypercritical,过分批评的，吹毛求疵的,,
300,knotty,棘手的，复杂的，难以解决的,,
301,flout,公然蔑视，无视,,
302,satire,讽刺,,
303,resurrect,使复苏，使重新流行,,
304,myth,神话，谣言，大众普遍持有的误解,,
305,rebellious,反叛的，造反的，反抗的,,
306,ignite,激起，使激动,,
307,teem,充满，到处都是,,
308,poise,使准备好,,
309,ennui,无聊，倦怠,,
310,subscribe,同意，赞同,,
311,sober,严肃的，庄重的，冷静的,,
312,somber,阴郁的，阴沉的，严肃的,,
313,override,撤销，推翻，使无效,,
314,accession,同意,,
315,sleek,线条明快的，造型优美的,,
316,guileless,老实的，单纯的,,
317,mandate,命令，强求,,
318,temper,减弱，限制，缓和,,
319,temperate,有节制的，有自制力的,,
320,on the verge of,边缘，接近……的程度,,
321,calculated,精心考虑的，蓄意的,,
322,contiguous,相邻的，互相接触的,,
323,one-stop,一站式的，全面的，综合性的,,
324,itinerant,巡回的，巡游的,,
325,phlegmatic,冷漠的，冷静的，感情迟钝的,,
326,manner,方式，方法,,
327,ancestry,起源，来源,,
328,rigid,死板的，僵化的，不灵活的,,
329,prognosis,预言，预测,,
330,picky,挑剔的，难伺候的,,
331,muddle,混乱，混乱的东西,,
332,moralize,讲道德，说教,,
333,moralistic,喜欢说教的，喜欢从道德上评判他人的,,
334,leach,被溶滤，被滤掉,,
335,unparalleled,无比的，无双的，独一无二的,,
336,dispel,打消，消除,,
337,remote,边远的，偏僻的，僻静的,,
338,daunting,困难的，令人望而却步的,,
339,ameliorate,改善，缓解，减轻,,
340,concomitant,伴随出现的情况,,
341,vapid,枯燥的，乏味的,,
342,churlish,粗暴的，无礼的，脾气坏的,,
343,totem,图腾，象征物，崇拜物,,
344,engender,带来，产生，导致,,
345,tyro,初学者，新手，生手,,
346,formulate,发明，规划，制定,,
347,foreground,突出，强调,,
348,momentary,片刻的，瞬息的，短暂的,,
349,momentous,重大的，重要的,,
350,wholesale,大批的，大规模的，不分青红皂白的,,
351,correspondence,信件,,
352,chunk,相当大的部分,,
353,vindication,证明……合理，证明……无罪,,
354,discrete,分离的，互不相连的，不相关联的,,
355,discreet,谨慎的，慎重的，偷偷的，不引人注目的,,
356,discretion,谨慎，慎重，自主权，自行做决定的自由,,
357,lapse,小错，失误，差错,,
358,brag,自夸，吹嘘，吹牛,,
359,formidable,难以克服的，难对付的,,
360,parochial,眼光狭隘的,,
361,diminutive,极小的,,
362,metaphor,隐喻，比喻,,
363,imperil,使陷于危险，危及,,
364,flippant,轻浮的，不严肃的，不敬的,,
365,maze,曲径，迷宫,,
366,puncture,穿孔，刺穿，刺破,,
367,petulant,脾气坏的,,
368,umbrage,生气，不愉快,,
369,bleak,没有希望的，凄凉的，阴郁的,,
370,complement,补充，补足,,
371,compliment,恭维，称赞,,
372,competence,能力，胜任，称职,,
373,alien,陌生的，不熟悉的，不习惯的,,
374,alienation,被孤立，被冷落，被疏远，不支持，不喜欢，疏远,,
375,valediction,告别，告别辞,,
376,amalgam,混合物,,
377,doom,使注定灭亡，使完蛋,,
378,bibliography,文献目录，参考书目,,
379,boisterous,喧闹的，活蹦乱跳的,,
380,snob,对地位高于自己者极力攀附、对地位低于自己者冷落蔑视的人，势利眼,,
381,vociferous,大声疾呼的，大吵大嚷的,,
382,impassioned,充满激情的，激昂的，热烈的,,
383,versatile,有多种技能的，多才多艺的,,
384,connoisseur,行家，鉴赏家,,
385,patron,资助人，赞助人,,
386,patronizing,傲慢的，自认为高人一等的,,
387,modicum,少量，一点点,,
388,revel,享受，陶醉于，纵情于,,
389,numinous,超自然的，神秘的,,
390,heterogeneous,由不同成分组成的，混杂的,,
391,coincidence,巧合,,
392,cause,事业，信仰，目标,,
393,chronology,大事年表，年代顺序，时间顺序,,
394,fusion,联合，合并,,
395,sensational,引起轰动的,,
396,cliché,陈词滥调,,
397,antediluvian,极为落伍的，老掉牙的,,
398,hard-and-fast,明确的，不容改变的,,
399,trendy,时髦的，赶时髦的,,
400,anachronistic,时代错误的，不和时代的，过时的，落伍的,,
401,theatrics,夸张的言行，演戏一样的举止，矫揉造作的姿态,,
402,confessional,自白的，忏悔的,,
403,far-fetched,牵强的，不可信的,,
404,restive,焦躁不安的，不耐烦的,,
405,restless,焦躁不安的,,
406,hypercritical,过分批评的，吹毛求疵的,,
407,faction,（政党、组织等内部的）派别，宗派,,
408,dispassionate,客观的，理性的，平心而论的,,
409,importunate,再三要求的，纠缠不休的，胡搅蛮缠的,,
410,concede,承认，（不情愿地）认可,,
411,majestic,雄伟的，壮丽的，威严的,,
412,adept,熟练地，擅长的,,
413,promise,前途，前景，成功的潜力，很有可能，很有可能带来，预示,,
414,stalwart,坚定的，坚决的,,
415,surplus,过剩，剩余,,
416,anonymous,匿名的，无名的,,
417,transmit,传送，传递，传达,,
418,irascible,易怒的，性情暴躁的,,
419,ridicule,嘲笑，嘲弄，戏弄,,
420,premium,额外的费用，更多的费用，高级的，优质的，精品的,,
421,enervate,使衰弱，使无力，使失去活力,,
422,arcane,神秘的，少有人懂的,,
423,persevere,坚持不懈，锲而不舍,,
424,salient,显著的，突出的,,
425,ancillary,辅助的，补充的,,
426,contingent,有可能的，不确定的，取决于……的，视……而定的,,
427,plentiful,丰富的，充足的，多的,,
428,suspicious,表示怀疑的,,
429,whereas,然而，但是，尽管,,
430,appreciation,欣赏，鉴赏,,
431,nondescript,没有明显特征的,,
432,pushover,易受影响的人，听话的人,,
433,paradigm,典型例子，典范，范式，科学研究中供他人参考、模仿、比较的对象,,
434,embolden,使有胆量，鼓励，壮胆,,
435,fusty,守旧的，古板的，过时的,,
436,electorate,[总称]选民,,
437,opportunism,机会主义，只关注把握眼前机会而不顾道德或长远目标,,
438,tart,尖刻的，辛辣的，刻薄的,,
439,fudge,含糊其辞，搪塞,,
440,traumatic,令人痛苦的，带来心理创伤的,,
441,winnow,筛选，区分,,
442,outstrip,超过,,
443,equitable,公平的，公正的,,
444,sector,部分，部门,,
445,stifle,扼杀，抑止，阻止,,
446,wrest sth. from,挣脱,,
447,epic,英雄的，壮丽的，史诗般的,,
448,divulge,泄露，透露,,
449,self-perpetuating,自我持续的,,
450,inherent,内在的，固有的，生来就有的,,
451,innumerable,无数的，数不清的,,
452,instantaneous,瞬间的，即刻的,,
453,molder,碎裂，崩塌，腐烂,,
454,philistine,没有文化修养的人，反感文化艺术的人,,
455,in spite of,尽管,,
456,recoil,退却，后退，退缩,,
457,indict,控诉，谴责,,
458,accommodate,使相容，使一致，使协调，适应,,
459,mercenary,唯利是图的，贪财的,,
460,cataclysm,大灾难，大动荡,,
461,counter,反对，反击，反驳,,
462,elucidate,阐明，解释,,
463,self-effacing,谦逊的，低调的,,
464,inopportune,不凑巧的，不合时宜的，不合适的,,
465,enhance,提高，增大，增强,,
466,wary,谨慎的，小心翼翼的，警惕的,,
467,make sense,合理，有道理，可行,,
468,speculate,推测，猜测，推断,,
469,laudatory,表示赞美的，颂扬性的，褒扬的,,
470,civility,礼貌，客气，谦恭,,
471,opprobrium,辱骂，蔑视，猛烈批评,,
472,make a (or no) difference,有显著影响，带来影响,,
473,impassive,无动于衷的，不动声色的，面无表情的,,
474,unethical,不道德的,,
475,probity,正直，诚实,,
476,befuddle,使糊涂，使迷惑不解,,
477,deplete,耗尽，大大减少,,
478,devise,设计，发明，想出,,
479,juvenile,幼稚的，不成熟的,,
480,ponderous,枯燥乏味的，过于严肃的,,
481,conundrum,谜，难题,,
482,tilt,倾斜，倾侧,,
483,fecundity,繁殖力，生殖力,,
484,mitigate,使缓和，使温和,,
485,exotic,奇异的，异国情调的,,
486,bountiful,充足的，丰富的,,
487,sloth,懒散，怠惰,,
488,journalism,新闻业，新闻工作,,
489,intractable,难对付的，棘手的，倔强的，难管的,,
490,inventive,创新的，有新意的,,
491,subservient,次要的，从属的，地位位于……之下的,,
492,set in,到来，开始,,
493,deficiency,缺乏，缺少，不足,,
494,aggravate,加重，加剧，使恶化,,
495,snappish,厉声说话的，没好气的,,
496,lucrative,赚钱的,,
497,feckless,没出息的，不负责任的,,
498,squander,浪费，挥霍,,
499,prose,文章，文字,,
500,prosaic,平凡的，乏味的，没有诗意的,,
501,riveting,极为迷人的，让人难以自拔的,,
502,gut,直觉，感觉，本能,,
503,erudite,博学的，知识渊博的,,
504,renewal,更新，复兴，重生,,
505,reiterate,重申,,
506,case,实际情况，事实，理由，道理，论证,,
507,cast,演员，全体演员,,
508,sound,合理的，明智的,,
509,continuity,连续，持续，连续性,,
510,gravitate,受吸引，趋向于,,
511,downright,彻底的，完全的，真正的,,
512,tenure,任期,,
513,tenured,终身的,,
514,ambiguous,含糊不清的，模棱两可的,,
515,statistics,统计，统计资料,,
516,dictum,名言，格言，权威意见,,
517,transgress,违反,,
518,abuse,滥用,,
519,susceptible,易受影响的,,
520,societal,社会的,,
521,insulate,保护，隔离，使免受负面影响,,
522,concise,简洁的，言简意赅的,,
523,sophist,诡辩者,,
524,aggrandize,扩大…的权势，提高…的地位，增加…的财富,,
525,esteem,尊重，敬重,,
526,juxtaposition,并列，放置在一起,,
527,stingy,吝啬的，小气的,,
528,genteel,彬彬有礼的，有教养的,,
529,steadfast,坚定的，忠实的,,
530,ban,禁止，禁令,,
531,defy,违抗，反抗，蔑视,,
532,diffuse,传播，扩散，使四散,,
533,discourse,演讲，辩论，探讨，论述,,
534,collective,集体的，共同的，集体所有的,,
535,entreat,恳求，乞求，请求,,
536,endow,资助，捐赠，给予，赋予,,
537,aspersion,诽谤，中伤,,
538,communal,集体公用的，公共的，共同的,,
539,blatant,公然的，毫不羞耻的,,
540,arduous,艰巨的，费力的，困难的,,
541,usher,创始，开辟,,
542,camouflage,伪装，保护色,,
543,oversight,忽视，疏忽,,
544,regal,有帝王风范的，威严的，豪华的,,
545,glib,油嘴滑舌的，轻率的，不经思考的,,
546,suspense,悬念,,
547,suspend,暂停，使暂时中止，悬挂，悬吊,,
548,particularize,详细说明，具体说明,,
549,particularly,格外，非常，尤其，尤其是,,
550,manage,控制，限制，约束，成功做到，成功达成,,
551,managerial,经理的，管理人员的,,
552,management,管理层,,
553,sporadic,偶尔的，断断续续的，零散的,,
554,feat,功绩，英勇事迹,,
555,inclusive,全部包含在内的，全面的，范围大的,,
556,sanguine,乐天的，乐观的,,
557,sanguinity,乐天，乐观,,
558,agenda,工作计划，打算,,
559,biography,传记，生平,,
560,pretense,虚假，虚伪，假装,,
561,pretentious,装模作样的，装腔作势的，自命不凡的,,
562,licence,不拘一格，破格,,
563,humility,谦逊，谦恭,,
564,insipid,枯燥无味的,,
565,intricate,错综复杂的，盘根错结的，复杂精细的,,
566,unwieldy,笨重的,,
567,lambaste,严厉批评，痛斥,,
568,run (or take) its course,听任……，任……自然发展,,
569,maintain,坚持，断言，主张,,
570,insalubrious,不利于健康的，有损健康的,,
571,sanctimonious,道貌岸然的，装作虔诚的,,
572,proffer,提供，提出,,
573,entrench,牢固确立，使地位稳固,,
574,at best,充其量，在最好的情况下,,
575,gentility,有风度，文雅，彬彬有礼,,
576,fluster,使慌张，使不知所措,,
577,surfeit,过量，过度,,
578,legislation,法律，法规,,
579,lull,暂停，暂时平息，暂时平静,,
580,baneful,有害的,,
581,polemical,争吵的，喜欢争吵的，措辞激烈的,,
582,stalemate,僵持，僵局,,
583,meticulous,一丝不苟的,,
584,incinerator,焚化炉,,
585,untether,使不受束缚，使不受限制,,
586,overture,序言，事件的开端,,
587,pioneering,创新的，先驱的,,
588,captivate,使入迷，迷住,,
589,misleading,骗人的，迷惑人的,,
590,assert,肯定地说出，断言,,
591,assertive,坚定的，极为自信的,,
592,placate,平息，安抚，使息怒,,
593,implacable,无法和解的，无法平息的,,
594,facet,方面,,
595,purveyor,供应者，提供者,,
596,cumbersome,笨重的,,
597,encumber,妨碍，阻碍,,
598,unencumbered,不受妨碍的，没有阻碍的,,
599,unobservable,无法观察的，难以察觉的，注意不到的,,
600,vicious,凶残的，残忍的,,
601,crass,粗俗的，粗俗的，愚钝的,,
602,affable,友好的，平易近人的,,
603,occasional,偶尔的,,
604,exacerbate,加剧，恶化,,
605,recession,衰退，衰退期,,
606,founder,失败，崩溃,,
607,requisite,需要的，必要的，必不可少的,,
608,entice,诱使，诱惑，吸引,,
609,tonic,滋补的，强身的，使人精神振奋的,,
610,disband,被解散，被遣散,,
611,sweeping,空泛的，泛泛而谈的,,
612,replete,充满的，装满的，充斥的,,
613,replenish,把…装满，补充,,
614,germane,切题的，紧密相关的,,
615,equate,等同，视……为相同,,
616,dogmatic,专横的，武断的，不容他人质疑的,,
617,multifarious,多样的，各种各样的,,
618,multifaceted,多方面的,,
619,eternal,永恒的，永存的，永远不变的,,
620,reciprocity,互给，互惠,,
621,offish,冷漠的，疏远的，不平易近人的,,
622,solitary,单独的，独处的，孤独的,,
623,exculpation,开脱，免除罪责,,
624,exculpatory  ,开脱的,,
625,trumpet,大肆宣扬，大声宣告,,
626,sanity,清醒，理智,,
627,counterweight,用于平衡……影响的事物,,
628,synthesis,综合，结合，综合体,,
629,constrict,抑制，约束,,
630,beset,困扰，使苦恼,,
631,slump,骤降，猛跌,,
632,ideology,思想体系，意识形态,,
633,ideological,思想体系的，意识形态的,,
634,grandstand,卖弄，哗众取宠,,
635,inexplicable,无法解释的，莫名其妙的,,
636,consequential,重大的，重要的,,
637,inconsequential ,不重要的,,
638,amplify,放大，增强，详细阐述，详细说明,,
639,impregnable,牢不可破的，无懈可击的,,
640,enchanting,令人陶醉的，迷人的,,
641,tropic,热带地区,,
642,volatile,情绪变化无常的，容易恶化的，不稳定的,,
643,overstate,夸大，把…讲得过分,,
644,fuel,刺激，助长，维持,,
645,argue,主张，提出，给出理由支持或反对,,
646,arguably,有可能是，可以说是,,
647,argumentative,好争论的，好争吵的,,
648,argument,论证，理由,,
649,heedless,不注意的，掉以轻心的,,
650,noisome,恶臭的,,
651,disorient,使迷惘，使不知所措，使无所适从,,
652,slapdash,马虎的，仓促的，粗制滥造的,,
653,fastidious,挑剔的，一丝不苟的,,
654,chronic,慢性的，长期的,,
655,fine-tune,微调，调节,,
656,exempt,豁免的，无需承担的,,
657,defer,推迟，拖延，使推迟，遵从，听从，服从,,
658,deference,遵从，听从，服从,,
659,deferential,恭敬的,,
660,interplay,相互影响，相互作用,,
661,overbearing,专横的，傲慢的，盛气凌人的,,
662,decry,公开谴责，强烈批评,,
663,quibble,吹毛求疵，找岔子，争吵,,
664,underscore,强调,,
665,rectitude,操行端正，正直,,
666,hedge,加以限制条件,,
667,deliberate,故意的，蓄意的，慎重的，深思熟虑的，慢条斯理的，不慌不忙的,,
668,deliberation,细想，考虑，详细研究,,
669,enterprise,事业，计划,,
670,enterprising,有事业心的，有进取心的，有魄力的,,
671,limp,艰难缓慢地行进，蹒跚,,
672,critical,评论的，评论界的，致命的，极为严重的,,
673,criticism ,评论，评论文章,,
674,criticism  ,批评，批判，指责,,
675,critique,评论文章,,
676,paltry,极少的，微不足道的，琐碎的，没有价值的,,
677,forebear,祖宗，祖先,,
678,spurn,蔑视，鄙视,,
679,brief,简短的，简洁的,,
680,brevity,简练，简短,,
681,bumbling,常出差错的，笨手笨脚的,,
682,conversant,熟悉的，精通的,,
683,anew,再，再一次，重新,,
684,ramification,影响，后果,,
685,innocuous,无伤大雅的，不得罪人的，无害的,,
686,embed,使嵌入，使根植于,,
687,augur,是好的预兆,,
688,hone,磨练，磨砺，提高,,
689,thesis,论点，主要观点,,
690,constrain,限制，约束,,
691,constraint ,限制，约束,,
692,spore,孢子,,
693,sovereignty,主权,,
694,prolific,多产的，作品多的,,
695,atypical,不典型的，非典型的,,
696,tranquil,平静的，安静的，安宁的,,
697,improbable,不大可能的,,
698,vision,远见，想象力，远见卓识，想象，想法，看法,,
699,visionary,富有远见的，有远见卓识的,,
700,folly,愚蠢,,
701,lurid,可怕的，耸人听闻的,,
702,bland,温和的，平淡无奇的,,
703,self-serving,自私的，谋私利的,,
704,sordid,卑鄙的，下作的,,
